algorithm,N,sample,runtime_s,frechet_dist,ok
DijkstraPrims,1000,0,3.7843,1000.6741,True
DijkstraPrims,1000,1,4.1936,1000.0729,True
DijkstraPrims,1000,2,4.063,1000.818,True
DijkstraPrims,2000,0,18.0707,999.6076,True
DijkstraPrims,2000,1,16.7157,999.8198,True
DijkstraPrims,2000,2,15.7135,999.9612,True
DijkstraPrims,3000,0,41.9595,1000.3454,True
DijkstraPrims,3000,1,43.6658,1000.2769,True
DijkstraPrims,3000,2,37.8174,1000.8693,True
DijkstraPrims,4000,0,68.2499,999.3888,True
DijkstraPrims,4000,1,65.87,999.883,True
DijkstraPrims,4000,2,65.8626,999.3149,True
DijkstraPrims,5000,0,113.142,999.4902,True
DijkstraPrims,5000,1,114.3841,1000.9926,True
DijkstraPrims,5000,2,113.3297,999.7495,True
DijkstraPrims,6000,0,179.6307,1000.4471,True
DijkstraPrims,6000,1,161.083,999.8101,True
DijkstraPrims,6000,2,158.5275,999.1589,True
DijkstraPrims,7000,0,249.1416,999.5941,True
DijkstraPrims,7000,1,236.9799,1000.2651,True
DijkstraPrims,7000,2,241.1706,999.6379,True
DijkstraPrims,8000,0,1350.2396,999.1611,True
DijkstraPrims,8000,1,1367.7166,1000.3472,True
DijkstraPrims,8000,2,1235.6315,999.2692,True
BBMS_inter,1000,0,4.8997,1000.6741,True
BBMS_inter,1000,1,4.4605,1000.0729,True
BBMS_inter,1000,2,4.5323,1000.818,True
BBMS_inter,2000,0,19.42,999.6076,True
BBMS_inter,2000,1,20.297,999.8198,True
BBMS_inter,2000,2,18.9522,999.9612,True
BBMS_inter,3000,0,46.9095,1000.3454,True
BBMS_inter,3000,1,44.9118,1000.2769,True
BBMS_inter,3000,2,44.643,1000.8693,True
BBMS_inter,3500,0,69.7094,1000.1566,True
BBMS_inter,3500,1,70.3876,1000.0365,True
BBMS_inter,3500,2,72.5627,999.2724,True
BBMS_inter,4000,0,84.2511,999.3888,True
BBMS_inter,4000,1,96.2237,999.883,True
BBMS_inter,4000,2,95.7781,999.3149,True
BBMS_inter,5000,0,137.7216,999.4902,True
BBMS_inter,5000,1,144.2362,1000.9926,True
BBMS_inter,5000,2,147.5146,999.7495,True
BBMS_dpp_instant,1000,0,6.0472,1000.6741,True
BBMS_dpp_instant,1000,1,7.4728,1000.0729,True
BBMS_dpp_instant,1000,2,7.7125,1000.818,True
BBMS_dpp_instant,2000,0,37.1691,999.6076,True
BBMS_dpp_instant,2000,1,38.5352,999.8198,True
BBMS_dpp_instant,2000,2,38.2255,999.9612,True
BBMS_dpp_instant,2500,0,64.0642,999.144,True
BBMS_dpp_instant,2500,1,64.1652,999.4955,True
BBMS_dpp_instant,2500,2,67.2615,1000.5731,True
BBMS_dpp_instant,3000,0,96.3957,1000.3454,True
BBMS_dpp_instant,3000,1,96.165,1000.2769,True
BBMS_dpp_instant,3000,2,96.0474,1000.8693,True
BBMS_dpp_instant,3500,0,148.3213,1000.1566,True
BBMS_dpp_instant,3500,1,149.8056,1000.0365,True
BBMS_dpp_instant,3500,2,145.8615,999.2724,True
BBMS_dpp_instant,4000,0,201.7772,999.3888,True
BBMS_dpp_instant,4000,1,202.6454,999.883,True
BBMS_dpp_instant,4000,2,191.129,999.3149,True
BBMS_inter,5500,0,196.968,1000.4107,True
BBMS_inter,5500,1,204.0854,1000.3625,True
BBMS_inter,5500,2,202.0857,1000.6131,True
BBMS_inter,6000,0,286.3444,1000.4471,True
BBMS_inter,6000,1,253.4209,999.8101,True
BBMS_inter,6000,2,261.7139,999.1589,True
BBMS_inter,6500,0,395.8714,999.8554,True
BBMS_inter,6500,1,447.8985,999.5757,True
BBMS_inter,6500,2,417.8667,999.4261,True
BBMS_inter,7000,0,577.6332,999.5941,True
BBMS_inter,7000,1,671.892,1000.2651,True
BBMS_inter,7000,2,558.1315,999.6379,True
BBMS_inter,7500,0,903.294,999.1687,True
BBMS_inter,7500,1,695.951,999.2263,True
BBMS_inter,7500,2,736.4087,999.8993,True
BBMS_inter,8000,0,1236.9318,999.1611,True
BBMS_inter,8000,1,1099.7717,1000.3472,True
BBMS_inter,8000,2,1176.3127,999.2692,True
BBMS_dpp_instant,4500,0,253.7744,1000.1811,True
BBMS_dpp_instant,4500,1,348.3321,1000.14,True
BBMS_dpp_instant,4500,2,299.7342,999.8964,True
BBMS_dpp_instant,5000,0,588.0458,999.4902,True
BBMS_dpp_instant,5000,1,704.9686,1000.9926,True
BBMS_dpp_instant,5000,2,934.2233,999.7495,True
DijkstraPrims,7500,0,367.3628,999.1687,True
DijkstraPrims,7500,1,392.5156,999.2263,True
DijkstraPrims,7500,2,663.1346,999.8993,True
BBMS_inter,8500,0,1592.6746,1000.2157,True
BBMS_inter,8500,1,1331.6856,1000.7489,True
BBMS_inter,8500,2,1543.6922,1000.3084,True
BBMS_dpp_instant,5500,0,700.7093,1000.4107,True
BBMS_dpp_instant,5500,1,954.5633,1000.3625,True
BBMS_dpp_instant,5500,2,905.8485,1000.6131,True
BBMS_inter,9000,0,1923.1235,1000.8034,True
BBMS_inter,9000,1,1768.6909,1000.8882,True
BBMS_inter,9000,2,1531.7452,999.8228,True
BBMS_dpp_instant,6000,0,1516.0881,1000.4471,True
BBMS_dpp_instant,6000,1,1489.3035,999.8101,True
BBMS_dpp_instant,6000,2,2141.2438,999.1589,True
BBMS_inter,9500,0,3663.2075,1000.2584,True
BBMS_inter,9500,1,1980.3808,999.6037,True
BBMS_inter,9500,2,2338.715,999.2514,True
BBMS_dpp_instant,6500,0,1897.1486,999.8554,True
BBMS_dpp_instant,6500,1,2305.366,999.5757,True
BBMS_dpp_instant,6500,2,2029.7226,999.4261,True
BBMS_inter,10000,0,3198.3091,1000.6207,True
DijkstraPrims,8500,0,6415.1692,1000.2157,True
BBMS_inter,10000,1,2750.3696,999.3347,True
BBMS_inter,10000,2,2535.3703,1000.4658,True
BBMS_dpp_instant,7000,0,2168.2573,999.5941,True
BBMS_dpp_instant,7000,1,2713.671,1000.2651,True
BBMS_dpp_instant,7000,2,4230.1548,999.6379,True
BBMS_inter,10500,0,5186.3073,1000.5291,True
BBMS_inter,10500,1,2959.5761,1000.1692,True
BBMS_inter,10500,2,2926.9427,1000.4867,True
BBMS_dpp_instant,7500,0,3789.0505,999.1687,True
BBMS_dpp_instant,7500,1,4754.7459,999.2263,True
BBMS_dpp_instant,7500,2,5062.3287,999.8993,True
BBMS_inter,11000,0,7218.0156,1000.6758,True
BBMS_inter,11000,1,4264.402,1000.6041,True
